Item,Quantity,Bin ##
Sanding Blocks,5,1
,5,1
Packs of Sandpaper,20,1
Sanding Sponges,3,1
Large Sheets of Sandpaper,3,1
Flower Pots Large ,21,2
Medium Flower pots,11,2
Small Flower pots,3,2
Gardening Shovel,8,2
Compostable small flower pots,118,2
Large Bag of Rocks,1,2
Bag of Decorative Shells,1,2
Flower Pot Resters,10,2
Tupperware Containers,23,3
Plastic Forks,100,3
Various metal utensils,1,3
Plastic knives,200,3
Plastic Spoons,50,3
Roll of Copper Wire,1,4
Bag of Resistors,1,4
Push Buttons,100,4
Rigid Battery Snap Connectors,4,4
Roll of Galvanized Wire,1,4
bag of Pennies,1,4
Copper Couplings,20,4
Bag of LED lights,2,4
Buzzers,4,4
EV3 Battery Pack,1,4
Ethernet Wire,1,4
Copper Wire with Protective Cover,1,4
Small Breadboards,6,4
Long Breadboards,4,4
Laddles,8,5
Metal Tongs,4,5
Wooden Spatula,1,5
Hand mixer,1,5
Measuring Cups,13,5
Muffin Tins,2,5
Sponges,13,5
Wooden Spoons,3,5
Strainers,4,5
Box of Measuring Spoons,1,5
Bowls,2,5
Ziplock Tupperware,8,5
Bath Bomb Moulds,8,5
Round-Headed Fasterners,9,6
Rulers,12,6
Packs of Note-Taking Tabs,12,6
Page Markers,48,6
Tape Dispensers,9,6
Packs of Cotton Swabs,2,6
Rubber Bands,100,6
Packs of paper Clips,2,6
Small calculator,1,6
One-hole punchers,5,6
loose tape measurer,1,6
bags of feather,7,6
Protractor,12,6
Mechanical Pencils,6,6
Large Over the Ear Headphones,11,7
Small Over the Ear Headphones,11,7
Earphones,6,7
One sided heaphones,4,7
Microphones,2,7
White Paper,Lots,8
Foam Paper,lots,8
Tissue Paper,lots,8
Construction Paper,lots,8
Lined Paper,lots,8
Containers of Play-Doh,4,8
Basketball,1,9
Rocks,,9
Dominos,A fuckton,9
Ping Pong Balls,lots,9
Tennis Balls,8,9
Syrofoam Ball,1,9
Golf Balls,lots,9
Stopwatch,1,9
Hockey Puck,1,9
beads,"like, so lots",10
googley eyes,lost,10
buttons,lots,10
Roll of Ribbon,1,10
Magnets,40,10
Rocks and Marbles,70,10
MOdeling Clay (Plasticine) ,8 blocks,10
Streamers,5 rolls,11
Pencil Holders,5,11
Pencils,12,11
Pencil Sharpeners,20,11
Highlighters,20,11
Clothespins,2,11
Pom Poms,1,11
Cotton Balls,3 bags,11
Coffee Filters,220,11
Paintbrushes,25,11
Toothpicks,2 containers,11
Cupcake Liners,200,11
Round Head Fasteners,100,11
Toiler Paper Rolls,35,11
Strings,lots,12
Rope,tons,12
Jump rope,multiple,12
Yarn,a plethora,12
Ribbon,some,12
Bungee Cables,so many,12
Mice (Computer Mouse) ,6,13
Sphero,4,13
Sphero Charger and Cord,3,13
Camera cords,10,13
Hair Dryer,1,13
Glue Gun,1,13
Glue Gun Sticks,20,13
Speaker,1,13
Extension cords,4,13
Hydraulic pumps,10,14
Propellers,50,14
Plastic bobbins,10 cases,14
Weight scale,1,14
Pulleys,7,14
Plastic Wheels,8 sets,14
Small syringe,4,14
2  kg weight,1,14
Wood with wheels (car),1,14
Hinges,25,14
Metal S hooks,25,14
Clear Report Covers,25,15
"White paper (cardstock, etc.)",20 sheets,15
Construction paper,150 sheets,15
Tissue Paper,7 packs,15
Duotangs,2,15
White Printer Paper,300 sheets,15
Black Construction Paper,30 sheets,15
File Folders,100,15
Motors,8,16
Compasses,5,16
Assorted staples,4 boxes,16
Playing Cards,Packs,16
Plastic Wrap,10,16
Wax Paper,3,16
Fish Bowls,2,16
Aluminum Folil,4,16
Ziplock Bags,10,16
Plastic Animals,a lot,17
Bionicles,many,17
Toy Cars,30,17
PLastic Animals,40,17
Assorted Syringes,30,18
Assorted Tubing,100,18
PVC Pipe ,26,18
Hydraulic Sets,A lot,18
Cups,40,19
Plates,50,19
Wing Nuts,30,21
Nuts,200,21
Large Sgort Bolt,1,21
Bolts,200,21
Fabric Measuring Tape,1,21
Nail Kit,485 Pieces,21
Pipe Bracket,1,21
HUGE Hinges,2,21
Large Washers,4,21
Metal Square,1,21
Metal Valve Extensions,2,21
Brackets,2,21
Tightening Key,1,21
Round Brackets,20,21
Hinges,7,21
Screws,750,21
Locknuts and Washers,15,21
Screw Housing,20,21
Little Nails,1000,21
Steel Rectangles,3,21
Soldering Iron Tip,1,21
Mini Screwdriver,1,21
Washers,500,21
Eye Hooks,8,21
Large Screw,1,21
Large Bolt,1,21
Arduinos,8,22
Protoboards,a lot,22
Plastic Gears,also a lot,22
Small Metal Poles,A lot,22
Extension Cords,7,43
Spiralator Rotor,1,43
Various Magnifying Sheets,a lot,52
Fabric,1,52
Glue Gun,1,54
Hammers,20,54
Measuring Tapes,4,54
Screwdrivers,23,54
Wire Cutters,13,54
Flashlights,5,54
Exactoknife,1,54
Stopwatches,2,54
Allen Key,1,54
Yard Tape,1,54
Hand Saw,1,54
Knife,1,54
Caulking Guns,2,54
Metal Rod,1,54
Pastels,1 box,54